"PACIFIC Exchange Rate Service"
"YYYY/MM/DD","2019/12/24"
"DZD/USD",
"ARS/USD",59.666
"AUD/USD",1.4446
"ATS/USD",12.414
"BSD/USD",
"BHD/USD",
"BBD/USD",
"BEF/USD",36.393
"BMD/USD",
"BRL/USD",4.0835
"GBP/USD",0.77185
"BGN/USD",1.7647
"CAD/USD",1.3157
"CLP/USD",749.42
"CNY/USD",7.0058
"COP/USD",3296.2
"HRK/USD",6.7179
"CYP/USD",0.52801
"CZK/USD",22.994
"DKK/USD",6.7411
"NLG/USD",1.9881
"XCD/USD",
"EGP/USD",
"EEK/USD",14.116
"EUR/USD",0.90215
"FJD/USD",
"FIM/USD",5.3640
"FRF/USD",5.9177
"XAF/USD",
"XPF/USD",
"DEM/USD",1.7645
"GHS/USD",
"XAU/USD",
"GRD/USD",307.41
"HNL/USD",
"HKD/USD",7.7852
"HUF/USD",299.34
"ISK/USD",122.35
"INR/USD",71.273
"IDR/USD",13997
"IEP/USD",0.71050
"ILS/USD",3.4705
"ITL/USD",1746.8
"JMD/USD",
"JPY/USD",109.37
"JOD/USD",
"KWD/USD",
"LBP/USD",
"LUF/USD",36.393
"MYR/USD",4.1361
"MTL/USD",0.38729
"MXN/USD",18.950
"MAD/USD",
"NZD/USD",1.5071
"NOK/USD",8.9260
"XCB/USD",
"XCT/USD",
"PKR/USD",153.93
"PAB/USD",
"PEN/USD",3.3158
"PHP/USD",50.826
"XPT/USD",
"PLN/USD",3.8435
"PTE/USD",180.87
"RON/USD",4.3120
"RUB/USD",62.061
"SAR/USD",3.7516
"RSD/USD",
"XAG/USD",0.056867
"SGD/USD",1.3551
"SKK/USD",27.178
"SIT/USD",216.19
"ZAR/USD",14.158
"KRW/USD",1163.3
"ESP/USD",150.11
"XDR/USD",0.72645
"LKR/USD",
"SDD/USD",
"SEK/USD",9.4248
"CHF/USD",0.98106
"TWD/USD",30.135
"THB/USD",30.156
"TTD/USD",
"TND/USD",
"TRY/USD",5.9480
"AED/USD",
"UYU/USD",
"VEF/USD",
"VND/USD",23082
"ZMW/USD",
"ZMK/USD",
"(C) 2019 Prof. Werner Antweiler, UBC"
